turn,alive_count,survival_fraction,x_mean,x_rms,y_mean,y_rms,z_mean,z_rms,delta_mean,delta_rms,px_rms,py_rms,emittance_proxy_x,emittance_proxy_y
310,9905,0.9905,-7.251031074136791e-05,0.007791122152638404,0.00022060325599955108,0.008413784374366328,-0.002248638932240853,0.10284953857726316,-6.739476844494685e-05,0.0030301404037921444,0.00022763226273387225,0.0007167451405410515,1.0742839002540534e-06,1.0698854959147195e-06
311,9905,0.9905,-6.42397488119716e-05,0.0069101324893308174,0.00019304049203444867,0.007259725362927894,-0.0022621884973509474,0.1034584901527866,-6.774782555046143e-05,0.003046279175105363,0.00016873246762924855,0.0007227030977824878,1.0752076143420355e-06,1.0709568974753238e-06
312,9905,0.9905,-5.369320378355363e-05,0.005822570115005416,0.0001586000299733713,0.005894189644700674,-0.002275809098988045,0.10407069377544546,-6.810300818548249e-05,0.003062513579718847,0.0001903163760963189,0.0007040613482303205,1.0761114673042345e-06,1.0720751175273927e-06
313,9905,0.9905,-4.1246728930511306e-05,0.004595662063706159,0.000118510746747744,0.004410097802950207,-0.0022895011644799507,0.10468616858428147,-6.846032745949178e-05,0.0030788441236243363,0.000271945437008222,0.0006615986695369843,1.0769943218480954e-06,1.0732390074946798e-06
314,9905,0.9905,-2.7343598153784017e-05,0.0033485670324224807,7.420270297976415e-05,0.0029984270017599044,-0.002303265123389595,0.10530493382169226,-6.881979454826276e-05,0.003095271315809242,0.00036920961719993494,0.000597123486759411,1.0778593360217272e-06,1.0744424594052284e-06
315,9905,0.9905,-1.2478512164451627e-05,0.0023627008989277726,2.7256123188109105e-05,0.002201190262429071,-0.0023171014075284288,0.1059270088340053,-6.918142069419771e-05,0.003111795668271574,0.0004631009308140362,0.0005135524250191786,1.0787136055972294e-06,1.0756751829850804e-06
316,9905,0.9905,2.8200104540034336e-06,0.0022413971766630457,-2.0654968509462783e-05,0.002756314032939593,-0.002331010450969764,0.10655241307205522,-6.954521720666643e-05,0.0031284176960349468,0.0005452714593599842,0.0004152123442684261,1.0795672318840845e-06,1.0769240979884346e-06
317,9905,0.9905,1.8008430278033673e-05,0.0031006721869784614,-6.78224465358957e-05,0.0041053491136058195,-0.0023449926900622315,0.10718116609176472,-6.991119546234707e-05,0.003145137917163682,0.0006108645357918189,0.00030900729035510176,1.0804319411777014e-06,1.0781751601745542e-06
318,9905,0.9905,3.2547503429449067e-05,0.004324447434178767,-0.00011256498670684271,0.005594762023527368,-0.0023590485634433353,0.10781328755472909,-7.027936690556868e-05,0.003161956852777986,0.0006566813648515381,0.0002094623838135759,1.0813194481015533e-06,1.0794153708413712e-06
319,9905,0.9905,4.592143065725828e-05,0.005567316988171381,-0.00015328800213809446,0.006992238720799717,-0.002373178512053069,0.10844879722880431,-7.064974304865548e-05,0.00317887502706922,0.0006806836286985965,0.00015768811028428047,1.0822397929422438e-06,1.0806346842231162e-06
