theorem_id,N,gamma,steps,mean_residue,final_fragmentation,final_agreement,admissibility_surface_shift,basin_area_delta
T002,512,0.1,50,0.021231471768060794,0.995011152659267,0.25374163550554973,4.343592743110094,1.0858981857775234
T002,512,0.1,100,0.05142102310204415,0.9931033210819767,0.2551725091885173,10.503996075197392,2.625999018799348
T002,512,0.1,250,0.2582313582938197,0.974852070554724,0.26886094708395697,52.20878373635742,13.052195934089355
T002,512,0.25,10,0.003828798591283174,0.9945905215589402,0.25405710883079474,1.959406957306328,0.489851739326582
T002,512,0.25,50,0.02896103872126605,0.9928568610963467,0.25535735417773986,14.774501669355004,3.693625417338751
T002,512,0.25,100,0.10644107116659009,0.9749278532389419,0.26880411007079347,53.77911668198249,13.444779170495622
T002,512,0.25,250,2.9549284813469927,0.48820023379871486,0.6338498246509637,1069.6310329374633,267.4077582343658
T002,1024,0.01,10,0.5022474980503306,0.4969298393018355,0.6273026205236235,10.260241289394799,2.5650603223486996
T002,1024,0.01,50,2.5321482635598196,0.4873786333825946,0.6344660249630539,51.207337530250925,12.801834382562731
T002,1024,0.01,100,5.125417340616585,0.4764493173461936,0.6426630119903547,102.32388472977573,25.580971182443932
T002,1024,0.01,250,13.274107978804667,0.4399654978895009,0.6700258765828743,254.58319961301254,63.645799903253135
T002,1024,0.05,10,0.5052355570800026,0.49023514312861255,0.6323236426535407,51.08811590142636,12.77202897535659
T002,1024,0.05,50,2.6540757066250853,0.43996213090618375,0.670028401820362,254.51631386041367,63.62907846510342
T002,1024,0.05,100,5.614447328920486,0.3781359970804007,0.7163980021896995,501.2726051185207,125.31815127963017
T002,1024,0.05,250,16.15846360377273,0.22479890462207577,0.8314008215334432,1135.0365873987826,283.75914684969564
T002,1024,0.1,10,0.5107004729718095,0.478837683170646,0.6408717376220157,101.96560197373333,25.491400493433332
T002,1024,0.1,50,2.8048447525295255,0.37840367028859984,0.71619724728355,500.9046085233567,125.22615213083918
T002,1024,0.1,100,6.185672615392911,0.271675285062077,0.7962435362034422,944.7101979160204,236.1775494790051
T002,1024,0.1,250,18.82655906751522,0.07677515189229833,0.9424186360807763,1736.324345115021,434.08108627875527
T002,1024,0.25,10,0.5279463547365265,0.44346743989328896,0.6673994200800332,253.22957200572841,63.307393001432104
T002,1024,0.25,50,3.220314009503312,0.22544425531530546,0.8309168085135209,1132.4358031923227,283.1089507980807
T002,1024,0.25,100,7.5154204713143855,0.07922508657459922,0.9405811850690504,1735.1374776508233,433.7843694127058
T002,1024,0.25,250,22.18170741998161,0.007509507166991711,0.9943678696247562,2040.001995035325,510.00049875883127
T002,1536,0.01,10,0.667513396360178,0.3333615429643912,0.7499788427767066,13.62514891855858,3.406287229639645
T002,1536,0.01,50,3.3594040480912777,0.32348866474878574,0.7573835014384105,67.65778288951947,16.914445722379867
T002,1536,0.01,100,6.773292739447365,0.30876900461344486,0.7684232465399163,134.12347437371454,33.530868593428636
T002,1536,0.01,250,17.334778083936662,0.2818718653728075,0.7885961009703942,325.94916523735765,81.48729130933941
T002,1536,0.05,10,0.6716192275036997,0.321568562481626,0.7588235781387808,67.63188161490234,16.907970403725585
T002,1536,0.05,50,3.463340167342172,0.27793289177083635,0.7915503311718726,325.63783771172825,81.40945942793206
T002,1536,0.05,100,7.180430406387705,0.2313286232271851,0.8265035325796112,617.7601079824428,154.4400269956107
T002,1536,0.05,250,19.559400189300003,0.12460936601557758,0.906542975488317,1277.8009586568767,319.45023966421917
T002,1536,0.1,10,0.6762372263521199,0.31353277531189716,0.7648504185160772,133.91445853592268,33.47861463398067
T002,1536,0.1,50,3.5887041396328905,0.2333278623448568,0.8250041032413574,617.5439733147668,154.3859933286917
T002,1536,0.1,100,7.621257640179091,0.1567503232677104,0.8824372575492171,1092.2530110235398,273.06325275588495
