id,active,lost_reason,x_m,y_m,y_prime_rad,z_m,z_prime_rad,beta,velocity_m_s,transverse_velocity_m_s,z_transverse_velocity_m_s,momentum_kg_m_s,transverse_momentum_kg_m_s,z_transverse_momentum_kg_m_s,kinetic_energy_ev
56,True,,1.008246042627052,0.0003350500463112807,-0.0011580204065313006,-0.0003921163623729232,-0.00028752776289496523,0.045534490116830834,13650886.998633754,-15808.005711670705,-3925.0090002491293,2.285648036333642e-20,-2.646827068222553e-23,-6.571872666522823e-24,974217.0948724195
57,True,,1.009448950358468,-0.0004529239389651132,-0.0017671993844884056,-0.00040643659986215873,-0.002059130567674997,0.045432425460521335,13620248.358775273,-24069.694516206877,-28045.869734879372,2.2805074205831883e-20,-4.030111309975852e-23,-4.6958625395325033e-23,969847.8467070177
58,True,,1.0056722732863328,0.0006880036827098955,-0.00024937063555408604,-0.0012287229010108226,0.0008204036513497447,0.045502313036175364,13641245.254953153,-3401.725998976828,11191.327416120947,2.2840303104145955e-20,-5.695700901328841e-24,1.873826806457625e-23,972838.5732646907
59,True,,1.0107187199405803,2.6751370850386067e-06,-0.0011245303620690517,1.8564245434051108e-05,0.0001664737445657561,0.045604812338651025,13671969.953615144,-15374.545322136033,2276.0240337688197,2.2891854301651364e-20,-2.5742585206267985e-23,3.810892705649614e-24,977233.2333164659
60,True,,1.0047993725686961,-5.4958318344134756e-05,-0.0010202441069587895,0.0004147905292686727,0.0009409338417477631,0.04551153576543936,13644002.03357193,-13920.212670085502,12838.103250263128,2.2844928541291056e-20,-2.3307403718146856e-23,2.1495566376810114e-23,973233.5906393111
61,True,,1.0160084877324072,0.00026316337560607545,0.0010430591125129506,0.0010230566044758832,0.002454643883877832,0.045678517630482175,13694026.37381612,14283.678996201581,33613.95808414946,2.2928862071926182e-20,2.3916158523675178e-23,5.6282191049132e-23,980399.4994865125
62,True,,1.014079487291193,-0.00036015389639050706,-0.001442550659818728,0.0008578771929867078,-1.2414800101422194e-05,0.045594224884199515,13668790.525541702,-19717.92279154416,-169.69530200281386,2.2886519709500048e-20,-3.301496410789362e-23,-2.8413156721070224e-25,976778.8351467383
63,True,,1.003803033818367,-0.0005043041114989058,-0.0013423632719213362,-0.0011575782546267657,0.00023134064982283594,0.04553375981858264,13650665.11388489,-18324.15148617696,3157.9537379600474,2.2856108087069227e-20,-3.068120003514596e-23,5.287546897283571e-24,974185.7967615727
64,True,,1.0134118926346745,0.0001401539075842275,0.0007339423086066892,0.0005177692020371932,0.000906436196419832,0.045556741710775214,13657558.286773723,10023.859858925125,12379.70518584533,2.2867673715857307e-20,1.6783553239480818e-23,2.0728087183971465e-23,975170.9650239922
65,True,,1.0171884717083286,0.0005445448772153174,-0.00067397144256499,-0.0003755658948833671,-0.0008131912860278362,0.04586312171466595,13749410.321540603,-9266.709908826682,-11180.900661498008,2.3021790202502384e-20,-1.5516029153209085e-23,-1.8721119181435953e-23,988352.3895454016
