temperature,lambda,eta,seed,full_log_loss,memoryless_log_loss,random_log_loss,shuffled_log_loss,finite_history_log_loss,best_history_k,strongest_control_log_loss,relative_improvement,paired_future_jsd,random_residue_jsd,shuffled_residue_jsd,finite_history_jsd,mean_residue_norm,beats_memoryless,beats_random,beats_shuffled,beats_finite_history
0.08,0.2257,0.1,0,0.11834833818517691,3.3950451801072457,5.440363732732619,3.5625004821756723,0.1314877391405618,32,0.1314877391405618,0.09992871610134486,0.17863451314573595,0.2965230009387513,0.20230637694249087,0.0037116843415102205,0.28222658790566124,True,True,True,True
0.08,0.2257,0.1,1,0.04573499765707199,1.0158259739311695,3.2783495177205166,1.0342756885694238,0.06010358523756201,2,0.06010358523756201,0.23906373511160048,0.2328077646356349,0.2602657450996522,0.14509349023245896,0.001489259782288647,0.27924143344830993,True,True,True,True
0.08,0.2257,0.1,2,0.0001647123144378247,1.1571463089218674,3.951454700961866,3.639863020382154,0.0001135287107563292,2,0.0001135287107563292,-0.45084281624013794,0.2628688403385779,0.29162206458595646,0.2931423236211667,1.3526735183864745e-05,0.41827541167876253,True,True,True,False
0.08,0.2257,0.1,3,0.3191628938212105,1.5816490576078601,3.6615141853245405,3.9574457238619543,0.35084783851285833,4,0.35084783851285833,0.0903096476978484,0.13524908503503644,0.24996135797158076,0.2383295936710538,0.010349303446326667,0.2990551780661238,True,True,True,True
0.08,0.2257,0.1,4,0.31066250642570215,2.613122958920409,4.526743874174244,3.9593156913161276,0.32867130431202246,8,0.32867130431202246,0.054792729544845674,0.17357030330514242,0.2694064138872872,0.2629004075525454,0.006764586502745816,0.29918750703255903,True,True,True,True
0.08,0.2257,0.1,5,0.26725023907317264,2.520187440362545,5.289924018183535,3.9548622685403094,0.30317072632584224,4,0.30317072632584224,0.11848270341927056,0.17996004589581208,0.25621007844009164,0.20224832301354417,0.008862626673200846,0.29240062805815104,True,True,True,True
0.08,0.2257,0.1,6,4.574212243426081e-06,0.007673882090450562,1.65607526546318,1.618649984076462,0.0,1,0.0,-4574212.243426081,0.0026464939911919924,0.15340052416229563,0.17687490520932275,1.585285117586307e-06,0.3125992543330881,True,True,True,False
0.08,0.2257,0.1,7,0.18061904231798637,9.302745141691348,9.982266129566879,8.784997301950698,0.7539095263243949,8,0.7539095263243949,0.7604234513409386,0.34626118773566206,0.3954580077162655,0.37158380249007117,0.009436595504148323,0.2827162883830987,True,True,True,True
0.08,0.2257,0.175,0,0.025913530810788413,0.2785361695980344,3.3647605835882466,0.6730653909632808,0.030875799408000656,4,0.030875799408000656,0.16071708886430974,0.03908375399314749,0.24252354343240726,0.08722422492706475,0.0012666233559492862,0.46473010171539225,True,True,True,True
0.08,0.2257,0.175,1,0.06978252542381701,1.0026133472415077,3.3298825399141023,0.9263925752479265,0.07480711732336337,1,0.07480711732336337,0.06716729743544213,0.22713872455911238,0.263764924216031,0.15098987965623653,0.001273910132028639,0.4937541773505108,True,True,True,True
0.08,0.2257,0.175,2,0.00014896579356223728,1.1571463089218674,3.585902510658688,3.0861601002083074,0.0001135287107563292,2,0.0001135287107563292,-0.31214203499560544,0.26291884036381247,0.29359928941217384,0.2780344010003452,9.83118556961105e-06,0.7319819704378342,True,True,True,False
0.08,0.2257,0.175,3,0.28145436221937326,1.8524359438224138,4.358815565686485,3.7887029854340337,0.3108533982011278,8,0.3108533982011278,0.09457524399566905,0.1872514508640861,0.267214432531061,0.23938783317687048,0.008169213607570157,0.5229186844739927,True,True,True,True
0.08,0.2257,0.175,4,0.31120073900302153,2.5431892627344532,4.459286228495422,5.066808215165002,0.3612802680995584,8,0.3612802680995584,0.1386168399397234,0.17879009128191845,0.2998794938764664,0.29513855246584214,0.008432231361569998,0.5251268489385834,True,True,True,True
0.08,0.2257,0.175,5,0.2931400674375302,2.3710710610970014,4.84806758385585,3.5225756987683554,0.3020610691582897,4,0.3020610691582897,0.029533768603873283,0.18328053988366919,0.26402291100268327,0.2010395528227667,0.00792047714972999,0.4928402898311846,True,True,True,True
0.08,0.2257,0.175,6,0.01314962647967663,0.5857951007428277,2.700246060551543,2.3512679343943366,0.022901490086909768,4,0.022901490086909768,0.42581786469899585,0.0781128996577851,0.19268788729049516,0.1715642747839237,0.00029100769152579266,0.5325240402303033,True,True,True,True
0.08,0.2257,0.175,7,0.21713696677416752,9.686768819768023,10.617124256791165,9.040646822172974,0.8742769232035433,4,0.8742769232035433,0.7516382269607097,0.37422004618614446,0.38967228412570765,0.380147514738112,0.012683841278558438,0.5018313897585286,True,True,True,True
